Run   NSE           RMSE          KGE           AbsPBIAS      par_POROSITY  par_HBV_BETA  par_FAST_BASEFLOW  par_MAX_PERC  par_MELT      par_SLOW_BASEFLOW  
55    2.213110E-01  1.428500E+01  6.201420E-01  1.061570E+01  5.524843E-02  3.651472E+00  1.972208E-01  6.673037E+01  9.998523E+00  1.317670E-01  
56    2.332670E-01  1.417490E+01  6.255350E-01  1.059030E+01  5.524843E-02  3.651472E+00  1.972208E-01  6.673037E+01  8.968709E+00  1.317670E-01  
57    2.330730E-01  1.417670E+01  6.255090E-01  1.058980E+01  5.524843E-02  3.651472E+00  2.708435E-01  6.673037E+01  8.968709E+00  1.317670E-01  
58    2.064280E-01  1.442080E+01  6.219520E-01  9.389370E+00  5.524843E-02  3.651472E+00  2.708435E-01  7.287761E+01  9.058677E+00  1.498877E-01  
59    2.089920E-01  1.439750E+01  6.248570E-01  8.679880E+00  5.524843E-02  3.651472E+00  2.708435E-01  6.673037E+01  7.518599E+00  1.600409E-01  
60    2.083850E-01  1.440300E+01  6.246140E-01  8.673800E+00  5.524843E-02  4.513659E+00  2.708435E-01  6.673037E+01  7.518599E+00  1.600409E-01  
61    2.087590E-01  1.439960E+01  6.244430E-01  8.830850E+00  5.583530E-02  4.513659E+00  2.708435E-01  7.185267E+01  7.518599E+00  1.600409E-01  
62    2.136370E-01  1.435520E+01  6.177020E-01  1.235640E+01  7.015115E-02  4.513659E+00  2.708435E-01  6.842800E+01  7.518599E+00  1.600409E-01  
63    2.421960E-01  1.409210E+01  6.315440E-01  9.213460E+00  5.000000E-02  3.149991E+00  2.708435E-01  6.673037E+01  7.518599E+00  1.290742E-01  
64    2.595970E-01  1.392940E+01  5.826940E-01  1.312950E+01  5.000000E-02  3.149991E+00  2.708435E-01  6.673037E+01  7.518599E+00  8.531108E-02  
65    2.432170E-01  1.408260E+01  6.312730E-01  9.295240E+00  5.000000E-02  3.149991E+00  2.708435E-01  6.673037E+01  7.518599E+00  1.279691E-01  
66    1.631170E-01  1.480910E+01  6.086510E-01  6.099930E+00  5.000000E-02  3.149991E+00  2.708435E-01  6.673037E+01  8.085268E+00  1.800292E-01  
67    1.614350E-01  1.482400E+01  6.089400E-01  5.507510E+00  5.000000E-02  1.051537E+00  2.708435E-01  6.673037E+01  8.673167E+00  1.800292E-01  
68    1.604390E-01  1.483280E+01  6.085220E-01  5.506470E+00  5.000000E-02  1.051537E+00  4.117681E-01  6.584885E+01  8.673167E+00  1.800292E-01  
69    1.604390E-01  1.483280E+01  6.085220E-01  5.506470E+00  5.000000E-02  1.051537E+00  4.117681E-01  6.584885E+01  8.673167E+00  1.800292E-01  
70    8.933960E-02  1.544810E+01  5.690090E-01  1.135310E+01  7.211734E-02  1.543554E+00  4.117681E-01  4.156267E+01  8.673167E+00  1.800292E-01  
71    1.700510E-01  1.474760E+01  6.100990E-01  7.238460E+00  5.640175E-02  1.051537E+00  5.412269E-01  6.584885E+01  8.673167E+00  1.800292E-01  
72    1.671640E-01  1.477330E+01  6.110870E-01  5.945170E+00  5.106787E-02  1.051537E+00  4.117681E-01  6.584885E+01  8.673167E+00  1.775432E-01  
73    1.673140E-01  1.477190E+01  6.111490E-01  5.945370E+00  5.106787E-02  1.051537E+00  3.147391E-01  6.584885E+01  8.673167E+00  1.775432E-01  
74    1.671780E-01  1.477310E+01  6.110930E-01  5.945190E+00  5.106787E-02  1.051537E+00  4.029631E-01  6.584885E+01  8.673167E+00  1.775432E-01  
75    1.544750E-01  1.488540E+01  6.056260E-01  5.934380E+00  5.106787E-02  1.051537E+00  4.640352E-01  5.755625E+01  8.673167E+00  1.775432E-01  
76    1.620810E-01  1.481830E+01  6.086950E-01  6.358400E+00  5.106787E-02  2.016258E+00  4.029631E-01  8.000000E+01  8.673167E+00  1.775432E-01  
77    1.671020E-01  1.477380E+01  6.110610E-01  5.945090E+00  5.106787E-02  1.051537E+00  4.512130E-01  6.584885E+01  8.673167E+00  1.775432E-01  
78    1.669070E-01  1.477560E+01  6.109790E-01  5.944740E+00  5.106787E-02  1.051537E+00  7.008154E-01  6.584885E+01  8.673167E+00  1.775432E-01  
79    1.588790E-01  1.484660E+01  6.074050E-01  5.723410E+00  5.106787E-02  1.051537E+00  7.008154E-01  6.584885E+01  8.673167E+00  1.814680E-01  
80    1.669280E-01  1.477540E+01  6.109880E-01  5.944800E+00  5.106787E-02  1.051537E+00  6.048533E-01  6.584885E+01  8.673167E+00  1.775432E-01  
81    1.719740E-01  1.473050E+01  6.131320E-01  5.950370E+00  5.106787E-02  1.051537E+00  6.048533E-01  7.991797E+01  8.673167E+00  1.775432E-01  
