True Cost 	Penalty 	Adjusted Cost
-6.417160E-01	0.000000E+00	-6.417160E-01
-4.644750E-01	0.000000E+00	-4.644750E-01
-5.528780E-01	0.000000E+00	-5.528780E-01
-4.879320E-01	0.000000E+00	-4.879320E-01
-5.529070E-01	0.000000E+00	-5.529070E-01
-5.890780E-01	0.000000E+00	-5.890780E-01
-6.278480E-01	0.000000E+00	-6.278480E-01
-5.518980E-01	0.000000E+00	-5.518980E-01
-5.461790E-01	0.000000E+00	-5.461790E-01
-2.710580E-01	0.000000E+00	-2.710580E-01
-5.528830E-01	0.000000E+00	-5.528830E-01
-5.165980E-01	0.000000E+00	-5.165980E-01
-5.527680E-01	0.000000E+00	-5.527680E-01
-5.482740E-01	0.000000E+00	-5.482740E-01
-4.470020E-01	0.000000E+00	-4.470020E-01
-5.520190E-01	0.000000E+00	-5.520190E-01
-5.456120E-01	0.000000E+00	-5.456120E-01
-4.917660E-01	0.000000E+00	-4.917660E-01
-4.917710E-01	0.000000E+00	-4.917710E-01
