time,date,hour,Snow Refreeze[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Canopy Evaporation[mm],Canopy Evaporation[mm],Canopy Snow Sublimation[mm],Canopy Snow Sublimation[mm],Snow Balance[mm],Overflow[mm],Infiltration[mm],Infiltration[mm],Flush[mm],Soil Evaporation[mm],Soil Evaporation[mm],Capillary Rise[mm],Lake Evaporation[mm],Lake Evaporation[mm],Percolation[mm],Baseflow[mm],Baseflow[mm]
,,from:,SNOW_LIQ,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,CANOPY,AET,CANOPY_SNOW,AET,SNOW,SNOW_LIQ,PONDED_WATER,PONDED_WATER,SURFACE_WATER,SOIL[0],AET,SOIL[1],SOIL[2],AET,SOIL[1],SOIL[1],SOIL[2]
,,to:,SNOW,PONDED_WATER,CANOPY,CANOPY_SNOW,ATMOS_PRECIP,ATMOSPHERE,SNOW,SNOW_LIQ,ATMOS_PRECIP,ATMOS_PRECIP,SOIL[2],SURFACE_WATER,ATMOS_PRECIP,ATMOS_PRECIP,ATMOSPHERE,AET,ATMOSPHERE,AET,SNOW_LIQ,PONDED_WATER,SOIL[0],SURFACE_WATER,SOIL[1],ATMOSPHERE,AET,SOIL[0],ATMOSPHERE,AET,SOIL[2],SURFACE_WATER,SURFACE_WATER
42,2013-02-12,00:00:00.00,0.0233328,53.5359,1.48456,2.90185,0,0,81.2855,1.93761,0,0,0,3.13649,0,0,1.48456,1.48456,2.90185,2.90185,29.9789,30.138,42.043,41.6309,44.7673,0.35122,0.35122,28.1774,0.488979,0.488979,13.4534,0,10.4417
43,2013-02-13,00:00:00.00,1.77846,53.5359,1.48456,2.90185,0,0,81.2855,1.93761,0,0,0,3.13649,0,0,1.48456,1.48456,2.90185,2.90185,29.9789,30.138,42.043,41.6309,44.7673,0.400469,0.400469,28.1774,0.74327,0.74327,13.4534,0,10.6834
44,2013-02-14,00:00:00.00,1.77846,53.5359,1.48456,2.90185,0,0,81.2855,1.93761,0,0,0,3.13649,0,0,1.48456,1.48456,2.90185,2.90185,29.9789,30.138,42.043,41.6309,44.7673,0.449718,0.449718,28.1774,0.96652,0.96652,13.4534,0,10.8755
45,2013-02-15,00:00:00.00,1.77846,53.5359,1.48456,2.90185,0,0,81.2855,1.93761,0,0,0,3.13649,0,0,1.48456,1.48456,2.90185,2.90185,29.9789,30.138,42.043,41.6309,44.7673,0.498967,0.498967,28.1774,1.18235,1.18235,13.4534,0,11.0242
46,2013-02-16,00:00:00.00,1.77846,53.5359,1.48456,2.93573,0,0,82.2345,1.93761,0,0,0,3.15833,0,0,1.48456,1.48456,2.93573,2.93573,29.9789,30.138,42.043,41.6309,44.7892,0.515802,0.515802,28.1774,1.38729,1.38729,13.4534,0,11.1352
47,2013-02-17,00:00:00.00,1.77846,53.5359,1.48456,2.98317,0,0,83.5631,1.93761,0,0,0,3.18891,0,0,1.48456,1.48456,2.98317,2.98317,29.9789,30.138,42.043,41.6309,44.8198,0.515802,0.515802,28.1774,1.38729,1.38729,13.4534,0,11.2344
48,2013-02-18,00:00:00.00,1.77846,53.5359,1.48456,2.98317,0,0,83.5631,1.93761,0,0,0,3.18891,0,0,1.48456,1.48456,2.98317,2.98317,29.9789,30.138,42.043,41.6309,44.8198,0.515802,0.515802,28.1774,1.38729,1.38729,13.4534,0,11.323
49,2013-02-19,00:00:00.00,1.77846,53.5359,1.48456,3.11869,0,0,87.3592,1.93761,0,0,0,3.27628,0,0,1.48456,1.48456,3.11869,3.11869,29.9789,30.138,42.043,41.6309,44.9071,0.515802,0.515802,28.1774,1.38729,1.38729,13.4534,0,11.4022
50,2013-02-20,00:00:00.00,1.77846,53.5359,1.48456,3.22033,0,0,90.2063,1.93761,0,0,0,3.3418,0,0,1.48456,1.48456,3.22033,3.22033,29.9789,30.138,42.043,41.6309,44.9727,0.525969,0.525969,28.1774,1.60312,1.60312,13.4534,0,11.45
51,2013-02-21,00:00:00.00,1.77846,53.5359,1.48456,3.25421,0,0,91.1553,1.93761,0,0,0,3.36364,0,0,1.48456,1.48456,3.25421,3.25421,29.9789,30.138,42.043,41.6309,44.9945,0.525969,0.525969,28.1774,1.60312,1.60312,13.4534,0,11.4926
