time,date,hour,precip [mm/day],02GA041 [m3/s],02GA-19 [m3/s],02GA-17 [m3/s],16018409002 [m3/s],02GA-13 [m3/s],02GA022 [m3/s],16018406702&02GA014 [m3/s],02GA027 [m3/s],02GA001 [m3/s],02GA016 [m3/s],02GA016 (observed) [m3/s],02GA016 (res. inflow) [m3/s]
2292,2019-04-12,00:00.0,0,6.52298,17.2521,20.1115,30.7417,37.6027,58.3871,59.604,67.037,68.2152,73.9736,63.3,69.8457
2293,2019-04-13,00:00.0,3.01425,5.89345,15.6235,18.1257,27.8768,34.0727,52.9051,54.0014,60.6897,61.7666,66.8202,36.2,63.2626
2294,2019-04-14,00:00.0,1.2057,5.33836,14.2128,16.3426,25.3083,30.9159,48.065,49.0527,55.0653,56.0614,60.6509,24.6,57.4544
2295,2019-04-15,00:00.0,15.6741,5.37389,14.3583,16.4169,25.5712,31.2218,48.5505,49.5442,55.5858,56.6012,57.9011,24.6,58.0222
2296,2019-04-16,00:00.0,0,5.42828,14.5404,16.5658,25.9612,31.6756,49.2245,50.229,56.331,57.3648,58.37,26.8,58.8107
2297,2019-04-17,00:00.0,3.01425,4.97496,13.347,15.1631,24.0174,29.2548,45.3674,46.287,51.869,52.8227,56.6366,31.9,54.159
2298,2019-04-18,00:00.0,0.401899,4.54405,12.2212,13.8142,22.1235,26.9058,41.6671,42.5047,47.5824,48.4634,52.3057,28.9,49.702
2299,2019-04-19,00:00.0,11.2532,4.5093,12.2195,13.5998,21.8887,26.6322,41.4121,42.2374,47.22,48.1228,49.6899,25.6,49.4024
2300,2019-04-20,00:00.0,15.2722,5.02024,13.6926,15.0443,24.1788,29.4613,46.0376,46.9521,52.4555,53.4862,51.7733,27,54.9521
2301,2019-04-21,00:00.0,12.4589,5.50104,15.0406,16.4528,26.509,32.3014,50.5112,51.5128,57.5347,58.673,56.9868,56.4,60.2903
2302,2019-04-22,00:00.0,0.20095,5.38467,14.7773,16.0373,26.125,31.7934,49.6965,50.6733,56.5336,57.6649,59.416,79,59.2355
2303,2019-04-23,00:00.0,0,4.73818,13.0972,14.0174,23.3013,28.3039,44.1985,45.0515,50.1686,51.1803,56.013,67.5,52.541
2304,2019-04-24,00:00.0,7.43514,4.23602,11.7442,12.5005,21.1941,25.6818,39.9469,40.7065,45.2738,46.1761,50.3512,48,47.379
2305,2019-04-25,00:00.0,0,3.76975,10.4383,11.115,19.224,23.212,35.8914,36.5656,40.6182,41.4196,45.3736,43.1,42.4859
2306,2019-04-26,00:00.0,20.095,3.82777,10.5496,11.3288,19.6133,23.659,36.46,37.1472,41.2832,42.0846,42.9707,32.8,43.1514
2307,2019-04-27,00:00.0,3.81804,3.92743,10.7751,11.6612,20.1551,24.3014,37.3631,38.0703,42.3307,43.141,43.4504,36.2,44.2198
2308,2019-04-28,00:00.0,0.602849,3.46065,9.48844,10.2646,18.0897,21.7392,33.2426,33.8643,37.6077,38.3215,41.9091,62.2,39.2702
2309,2019-04-29,00:00.0,0,3.06569,8.40527,9.09031,16.33,19.5623,29.753,30.3034,33.6172,34.2497,37.8269,48.4,35.09
2310,2019-04-30,00:00.0,5.22469,2.83592,7.76657,8.41393,15.2839,18.2727,27.6871,28.1964,31.2633,31.8465,34.4461,32.2,32.621
2311,2019-05-01,00:00.0,12.057,3.0309,8.2721,9.03132,16.1702,19.3656,29.3819,29.9294,33.2312,33.8462,33.7453,32.1,34.6643
2312,2019-05-02,00:00.0,3.91852,3.18447,8.66923,9.52103,16.8696,20.2281,30.7165,31.2944,34.7839,35.4234,35.1709,32.2,36.2754
2313,2019-05-03,00:00.0,12.1575,3.39182,9.21589,10.1754,17.8297,21.4099,32.5508,33.1696,36.9097,37.5848,37.0356,32.4,38.4858
2314,2019-05-04,00:00.0,12.057,3.92756,10.6495,11.8344,20.3166,24.468,37.3294,38.0508,42.4183,43.1917,40.7435,32.6,44.2271
2315,2019-05-05,00:00.0,0,3.96202,10.7345,11.9587,20.5055,24.6957,37.6548,38.3845,42.805,43.5819,43.9362,26.2,44.6233
2316,2019-05-06,00:00.0,0,3.50934,9.50673,10.5906,18.4272,22.1379,33.615,34.2611,38.1747,38.8627,42.4158,18.8,39.7847
2317,2019-05-07,00:00.0,0.401899,3.04496,8.24484,9.18404,16.2517,19.4692,29.4235,29.9833,33.3736,33.9703,37.9315,12.8,34.7691
2318,2019-05-08,00:00.0,0,2.66058,7.20141,8.02119,14.4265,17.2364,25.9313,26.4199,29.3786,29.8997,33.4673,8.7,30.5969
2319,2019-05-09,00:00.0,0,2.3771,6.4341,7.16653,13.0612,15.5717,23.3402,23.7767,26.4201,26.8858,29.829,7.66,27.5086
2320,2019-05-10,00:00.0,12.3584,2.58015,6.97647,7.79875,13.9329,16.6604,25.079,25.5548,28.4386,28.941,28.7867,7.77,29.6144
2321,2019-05-11,00:00.0,0,2.76157,7.46105,8.36362,14.7177,17.6391,26.6385,27.1494,30.2479,30.7832,30.2276,18.3,31.5018
2322,2019-05-12,00:00.0,0.803799,2.47022,6.67255,7.48023,13.3255,15.9381,23.9865,24.4433,27.2137,27.6924,29.9782,20.4,28.3347
2323,2019-05-13,00:00.0,8.54036,2.5316,6.83391,7.67515,13.5522,16.2305,24.4713,24.9403,27.7858,28.2748,28.8765,12.5,28.9314
2324,2019-05-14,00:00.0,8.03799,2.89109,7.79963,8.78274,15.1668,18.2282,27.6295,28.1669,31.4298,31.9859,30.4791,10.8,32.7337
2325,2019-05-15,00:00.0,0.20095,2.8906,7.79662,8.78813,15.1364,18.1984,27.5946,28.1326,31.4002,31.9553,32.3152,16.5,32.7022
2326,2019-05-16,00:00.0,0,2.5826,6.96589,7.85175,13.6844,16.4202,24.8152,25.2959,28.2153,28.7113,31.2676,19.1,29.3786
2327,2019-05-17,00:00.0,2.0095,2.37493,6.40487,7.22131,12.6848,15.2006,22.9191,23.3612,26.0465,26.5023,28.8073,22.3,27.1155
2328,2019-05-18,00:00.0,0,2.18826,5.90055,6.6546,11.7776,14.0955,21.2061,21.6135,24.0881,24.5079,26.63,23.7,25.0725
2329,2019-05-19,00:00.0,0,1.95399,5.26877,5.94211,10.6456,12.7154,19.0646,19.4284,21.638,22.0128,24.397,17.1,22.517
2330,2019-05-20,00:00.0,5.42564,1.67801,4.50868,5.09715,9.2679,11.0399,16.4725,16.7835,18.6718,18.9911,21.6106,8.3,19.4188
2331,2019-05-21,00:00.0,0,1.32739,3.54324,4.02229,7.52078,8.91419,13.183,13.4267,14.9056,15.1547,18.2898,5.37,15.4853
2332,2019-05-22,00:00.0,0,1.08191,2.87937,3.27379,6.29992,7.43234,10.9013,11.099,12.298,12.4999,15.2139,5.36,12.7665
2333,2019-05-23,00:00.0,0.401899,0.966631,2.57257,2.92497,5.69676,6.70852,9.80784,9.98453,11.0558,11.2361,13.0587,5.37,11.4743
2334,2019-05-24,00:00.0,3.21519,0.66916,1.7562,2.01283,4.21394,4.90518,7.02065,7.14042,7.86492,7.98616,10.7842,5.4,8.14309
2335,2019-05-25,00:00.0,7.63609,0.447441,1.13129,1.32812,3.05402,3.50095,4.86245,4.93846,5.39583,5.47039,8.09252,5.52,5.56339
2336,2019-05-26,00:00.0,13.0617,0.619184,1.61942,1.86978,3.76104,4.40079,6.34935,6.46077,7.13576,7.24632,6.90537,5.57,7.39238
2337,2019-05-27,00:00.0,0,0.493303,1.30361,1.50008,3.09577,3.61132,5.17926,5.26988,5.82023,5.90994,6.57482,6.35,6.02971
2338,2019-05-28,00:00.0,5.42564,0.128859,0.318235,0.383381,1.2974,1.42431,1.80617,1.82784,1.95829,1.97831,4.95833,9.68,2.00299
2339,2019-05-29,00:00.0,2.8133,0.0385155,0.0853139,0.109067,0.805342,0.839442,0.941652,0.947065,0.978778,0.983439,3.04818,11.4,0.988127
2340,2019-05-30,00:00.0,0.602849,0.0181741,0.0402565,0.0514647,0.676623,0.692714,0.740943,0.743497,0.758461,0.760661,2.0299,11.4,0.762873
2341,2019-05-31,00:00.0,0,0,0,0,0.538147,0.538147,0.538147,0.538147,0.538147,0.538147,1.37144,11.5,0.538147
2342,2019-06-01,00:00.0,0,0,0,0,0.469583,0.469583,0.469583,0.469583,0.469583,0.469583,0.93457,11.8,0.469583
2343,2019-06-02,00:00.0,2.21045,0,0,0,0.424915,0.424915,0.424915,0.424915,0.424915,0.424915,0.753865,11.9,0.424915
2344,2019-06-03,00:00.0,0,0,0,0,0.396637,0.396637,0.396637,0.396637,0.396637,0.396637,0.664795,9.57,0.396637
2345,2019-06-04,00:00.0,0,0,0,0,0.371621,0.371621,0.371621,0.371621,0.371621,0.371621,0.594351,5.63,0.371621
2346,2019-06-05,00:00.0,0.20095,0,0,0,0.348182,0.348182,0.348182,0.348182,0.348182,0.348182,0.535507,5.68,0.348182
2347,2019-06-06,00:00.0,3.81804,0,0,0,0.326222,0.326222,0.326222,0.326222,0.326222,0.326222,0.485735,5.74,0.326222
2348,2019-06-07,00:00.0,0,0,0,0,0.286193,0.286193,0.286193,0.286193,0.286193,0.286193,0.401729,4.65,0.286193
2349,2019-06-08,00:00.0,0,0,0,0,0.24129,0.24129,0.24129,0.24129,0.24129,0.24129,0.305196,6.84,0.24129
2350,2019-06-09,00:00.0,0,0,0,0,0.212158,0.212158,0.212158,0.212158,0.212158,0.212158,0.227599,7.14,0.212158
2351,2019-06-10,00:00.0,0.502374,0,0,0,0.182037,0.182037,0.182037,0.182037,0.182037,0.182037,0.13805,7.17,0.182037
2352,2019-06-11,00:00.0,8.64084,0.0081414,0.00300906,0.0168522,0.178146,0.180098,0.183237,0.183237,0.183237,0.183237,0.0834006,7.26,0.183703
2353,2019-06-12,00:00.0,0,0.0154153,0.0056975,0.0319088,0.185917,0.189613,0.195556,0.195556,0.195556,0.195556,0.0912195,6.58,0.196439
2354,2019-06-13,00:00.0,8.43989,0.0889266,0.189471,0.25192,0.509222,0.586162,0.812585,0.825087,0.900051,0.91123,0.209121,6.24,0.925506
2355,2019-06-14,00:00.0,6.83229,0.231221,0.546395,0.678199,1.14177,1.36092,2.01565,2.05253,2.27402,2.30738,0.567512,6.56,2.34858
2356,2019-06-15,00:00.0,0.803799,0.283199,0.680907,0.835648,1.37582,1.64838,2.46467,2.51082,2.78827,2.83026,1.21858,6.43,2.88204
2357,2019-06-16,00:00.0,0.401899,0.253024,0.608356,0.746609,1.24232,1.48585,2.21516,2.2564,2.50428,2.5418,1.81651,6.27,2.58806
2358,2019-06-17,00:00.0,0,0.226064,0.543536,0.667058,1.1226,1.34017,1.99178,2.02862,2.25009,2.28361,2.08255,6.16,2.32494
2359,2019-06-18,00:00.0,0,0.167805,0.39158,0.490911,0.854647,1.01208,1.48096,1.50729,1.66502,1.68815,2.04515,6.06,1.71564
2360,2019-06-19,00:00.0,0,0.0611336,0.135106,0.176151,0.36867,0.423443,0.58485,0.593796,0.647016,0.654335,1.59334,5.99,0.662323
2361,2019-06-20,00:00.0,0.803799,0,0,0,0.0760507,0.0760507,0.0760507,0.0760507,0.0760507,0.0760507,0.973719,5.95,0.0760507
2362,2019-06-21,00:00.0,7.23419,0.000503317,0,0.000503317,0.047872,0.047872,0.047872,0.047872,0.047872,0.047872,0.587492,5.93,0.047872
2363,2019-06-22,00:00.0,0,0.000503317,0,0.000503317,0.0346003,0.0346003,0.0346003,0.0346003,0.0346003,0.0346003,0.408482,5.67,0.0346003
2364,2019-06-23,00:00.0,0,0,0,0,0.0268308,0.0268308,0.0268308,0.0268308,0.0268308,0.0268308,0.291755,5.48,0.0268308
2365,2019-06-24,00:00.0,0,0,0,0,0.0110672,0.0110672,0.0110672,0.0110672,0.0110672,0.0110672,0.169381,5.49,0.0110672
2366,2019-06-25,00:00.0,10.8513,0.0656212,0.150276,0.191521,0.282541,0.343219,0.522892,0.532895,0.592344,0.600466,0.106845,5.5,0.609396
2367,2019-06-26,00:00.0,0,0.0656212,0.150276,0.191521,0.282541,0.343219,0.522892,0.532895,0.592344,0.600466,0.111098,5.52,0.609396
2368,2019-06-27,00:00.0,0,0,0,0,0,0,0,0,0,0,0.0553165,5.53,0
2369,2019-06-28,00:00.0,0,0,0,0,0,0,0,0,0,0,0,5.54,0
2370,2019-06-29,00:00.0,10.6503,0,0,0,0,0,0,0,0,0,0,5.35,0
2371,2019-06-30,00:00.0,0,0,0,0,0,0,0,0,0,0,0,5.24,0
2372,2019-07-01,00:00.0,0,0,0,0,0,0,0,0,0,0,0,5.25,0
2373,2019-07-02,00:00.0,0,0,0,0,0,0,0,0,0,0,0,5.27,0
2374,2019-07-03,00:00.0,2.61235,0,0,0,0,0,0,0,0,0,0,5.3,0
2375,2019-07-04,00:00.0,0,0,0,0,0,0,0,0,0,0,0,5.31,0
2376,2019-07-05,00:00.0,0,0,0,0,0,0,0,0,0,0,0,5.18,0
2377,2019-07-06,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.85,0
2378,2019-07-07,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.53,0
2379,2019-07-08,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.52,0
2380,2019-07-09,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.5,0
2381,2019-07-10,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.52,0
2382,2019-07-11,00:00.0,4.01899,0,0,0,0,0,0,0,0,0,0,4.52,0
2383,2019-07-12,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.52,0
2384,2019-07-13,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.52,0
2385,2019-07-14,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.52,0
2386,2019-07-15,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.52,0
2387,2019-07-16,00:00.0,1.6076,0,0,0,0,0,0,0,0,0,0,4.52,0
2388,2019-07-17,00:00.0,4.62184,0,0,0,0,0,0,0,0,0,0,4.52,0
2389,2019-07-18,00:00.0,2.0095,0,0,0,0,0,0,0,0,0,0,4.54,0
2390,2019-07-19,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.54,0
2391,2019-07-20,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.55,0
2392,2019-07-21,00:00.0,8.03799,0,0,0,0,0,0,0,0,0,0,4.53,0
2393,2019-07-22,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.53,0
2394,2019-07-23,00:00.0,1.2057,0,0,0,0,0,0,0,0,0,0,4.53,0
2395,2019-07-24,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.84,0
2396,2019-07-25,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.53,0
2397,2019-07-26,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.56,0
2398,2019-07-27,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.57,0
2399,2019-07-28,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.59,0
2400,2019-07-29,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.59,0
2401,2019-07-30,00:00.0,12.057,0,0,0,0,0,0,0,0,0,0,4.14,0
2402,2019-07-31,00:00.0,0,0,0,0,0,0,0,0,0,0,0,3.65,0
2403,2019-08-01,00:00.0,0,0,0,0,0,0,0,0,0,0,0,3.77,0
2404,2019-08-02,00:00.0,0,0,0,0,0,0,0,0,0,0,0,3.9,0
2405,2019-08-03,00:00.0,0,0,0,0,0,0,0,0,0,0,0,3.89,0
2406,2019-08-04,00:00.0,0,0,0,0,0,0,0,0,0,0,0,3.88,0
2407,2019-08-05,00:00.0,0,0,0,0,0,0,0,0,0,0,0,3.87,0
2408,2019-08-06,00:00.0,2.61235,0,0,0,0,0,0,0,0,0,0,3.87,0
2409,2019-08-07,00:00.0,6.83229,0,0,0,0,0,0,0,0,0,0,3.88,0
2410,2019-08-08,00:00.0,0,0,0,0,0,0,0,0,0,0,0,3.87,0
2411,2019-08-09,00:00.0,10.0475,0,0,0,0,0,0,0,0,0,0,3.87,0
2412,2019-08-10,00:00.0,0,0,0,0,0,0,0,0,0,0,0,3.85,0
2413,2019-08-11,00:00.0,0,0,0,0,0,0,0,0,0,0,0,3.85,0
2414,2019-08-12,00:00.0,2.0095,0,0,0,0,0,0,0,0,0,0,3.85,0
2415,2019-08-13,00:00.0,0,0,0,0,0,0,0,0,0,0,0,3.85,0
2416,2019-08-14,00:00.0,0,0,0,0,0,0,0,0,0,0,0,3.84,0
2417,2019-08-15,00:00.0,0,0,0,0,0,0,0,0,0,0,0,3.82,0
2418,2019-08-16,00:00.0,0,0,0,0,0,0,0,0,0,0,0,3.82,0
2419,2019-08-17,00:00.0,20.095,0,0,0,0,0,5.59E-06,5.59E-06,5.59E-06,5.59E-06,0,3.84,0.00260677
2420,2019-08-18,00:00.0,2.21045,0,0,0,0,0,5.59E-06,5.59E-06,5.59E-06,5.59E-06,0,3.85,0.00260677
2421,2019-08-19,00:00.0,45.0127,0.731458,1.94034,2.23077,3.34926,4.11713,6.45067,6.5861,7.40962,7.54344,0,3.86,7.73306
2422,2019-08-20,00:00.0,0,1.09905,2.88706,3.34469,5.01721,6.16194,9.63235,9.83367,11.057,11.2534,0.182909,3.84,11.5335
2423,2019-08-21,00:00.0,2.0095,0.517913,1.30242,1.5615,2.33316,2.8541,4.41617,4.50661,5.05441,5.13735,1.14047,3.81,5.25986
2424,2019-08-22,00:00.0,0.803799,0.150318,0.355692,0.447582,0.665203,0.809296,1.23449,1.25904,1.407,1.42739,1.72453,3.63,1.46209
2425,2019-08-23,00:00.0,0,0,0,0,0,0,1.13E-05,1.13E-05,1.13E-05,1.13E-05,1.21746,3.83,0.00460866
2426,2019-08-24,00:00.0,0,0,0,0,0,0,9.24E-06,9.24E-06,9.24E-06,9.24E-06,0.788368,3.92,0.00366467
2427,2019-08-25,00:00.0,0,0,0,0,0,0,8.26E-06,8.26E-06,8.26E-06,8.26E-06,0.591368,3.9,0.00327419
2428,2019-08-26,00:00.0,0,0,0,0,0,0,7.38E-06,7.38E-06,7.38E-06,7.38E-06,0.44372,3.89,0.00292533
2429,2019-08-27,00:00.0,2.8133,0,0,0,0,0,5.70E-06,5.70E-06,5.70E-06,5.70E-06,0.329654,3.88,0.00216069
2430,2019-08-28,00:00.0,32.7548,0.573689,1.52106,1.74737,2.62243,3.22396,5.0535,5.15945,5.80332,5.90834,1.26832,3.79,6.05482
2431,2019-08-29,00:00.0,0,1.01596,2.68659,3.09241,4.63982,5.70276,8.93384,9.1209,10.2574,10.4423,4.43696,3.76,10.6988
2432,2019-08-30,00:00.0,0.602849,0.83741,2.20688,2.54677,3.81983,4.6935,7.34723,7.50081,8.43365,8.58478,7.26372,3.75,8.79452
2433,2019-08-31,00:00.0,0,0.748184,1.97173,2.27541,3.41282,4.1934,6.56438,6.70159,7.53505,7.67007,7.89444,3.82,7.85746
2434,2019-09-01,00:00.0,0,0.668465,1.76165,2.03297,3.04919,3.74659,5.86494,5.98754,6.73218,6.85282,7.61044,3.84,7.02025
2435,2019-09-02,00:00.0,2.0095,0.597239,1.57394,1.81635,2.72429,3.34739,5.24003,5.34956,6.01487,6.12265,7.036,3.82,6.27224
2436,2019-09-03,00:00.0,0,0.373725,0.966253,1.13123,1.69344,2.07726,3.23814,3.30519,3.71175,3.77618,5.83283,3.79,3.86569
2437,2019-09-04,00:00.0,1.40665,0.0919098,0.223567,0.27416,0.40795,0.497748,0.765564,0.780928,0.873563,0.887132,3.86096,3.78,0.907264
2438,2019-09-05,00:00.0,0,0,0,0,0,0,4.10E-06,4.10E-06,4.10E-06,4.10E-06,2.1779,3.79,0.00128037
2439,2019-09-06,00:00.0,0,0,0,0,0,0,8.63E-07,8.63E-07,8.63E-07,8.63E-07,1.24015,3.55,6.28E-05
2440,2019-09-07,00:00.0,1.50712,0,0,0,0,0,0,0,0,0,0.795333,3.38,0
2441,2019-09-08,00:00.0,2.0095,0,0,0,0,0,0,0,0,0,0.575663,3.36,0
2442,2019-09-09,00:00.0,0,0,0,0,0,0,0,0,0,0,0.411127,3.34,0
2443,2019-09-10,00:00.0,0,0,0,0,0,0,0,0,0,0,0.30794,3.34,0
2444,2019-09-11,00:00.0,26.1235,0.551709,1.4635,1.68165,2.52438,3.10334,4.86354,4.96558,5.58592,5.68693,1.1783,3.36,5.82299
2445,2019-09-12,00:00.0,5.02374,0.848163,2.23038,2.58002,3.86972,4.75347,7.4349,7.59025,8.53399,8.68608,3.71011,3.38,8.88945
2446,2019-09-13,00:00.0,0.20095,0.499677,1.2824,1.51147,2.26178,2.77225,4.31216,4.40121,4.94113,5.02556,5.24376,3.29,5.13599
2447,2019-09-14,00:00.0,10.8513,0.520005,1.32273,1.57038,2.34823,2.8758,4.46333,4.55515,5.11147,5.19734,5.19639,3.32,5.30676
2448,2019-09-15,00:00.0,0,0.513608,1.29117,1.54751,2.31171,2.82799,4.37666,4.46621,5.00833,5.09059,5.18093,3.25,5.19232
2449,2019-09-16,00:00.0,9.44464,0.518576,1.29564,1.56094,2.33072,2.84955,4.40299,4.49284,5.0366,5.11829,5.15445,3.25,5.21709
2450,2019-09-17,00:00.0,3.61709,0.608971,1.53618,1.83724,2.74586,3.35993,5.20262,5.30931,5.95553,6.05384,5.46477,3.27,6.17377
2451,2019-09-18,00:00.0,0,0.433079,1.06701,1.30016,1.93909,2.36769,3.64599,3.71992,4.16686,4.23256,5.28515,3.27,4.30985
2452,2019-09-19,00:00.0,0,0.175393,0.381835,0.507996,0.746607,0.902997,1.35836,1.38387,1.53424,1.55371,3.94994,3.27,1.57445
2453,2019-09-20,00:00.0,0,0.029536,0.039336,0.074362,0.102583,0.119992,0.166128,0.16803,0.176227,0.17636,2.38789,3.3,0.17636
2454,2019-09-21,00:00.0,0,0,0,0,0,0,0,0,0,0,1.29003,3.31,0
2455,2019-09-22,00:00.0,2.21045,0,0,0,0,0,0,0,0,0,0.732852,3.31,0
2456,2019-09-23,00:00.0,1.6076,0,0,0,0,0,0,0,0,0,0.468909,3.32,0
2457,2019-09-24,00:00.0,1.6076,0,0,0,0,0,0,0,0,0,0.271212,3.33,0
2458,2019-09-25,00:00.0,0,0,0,0,0,0,0,0,0,0,0.155587,3.33,0
2459,2019-09-26,00:00.0,1.6076,0,0,0,0,0,0,0,0,0,0.0864343,3.36,0
2460,2019-09-27,00:00.0,0,0,0,0,0,0,0,0,0,0,0.0296374,3.34,0
2461,2019-09-28,00:00.0,3.81804,0,0,0,0,0,0,0,0,0,0.00964772,3.39,0
2462,2019-09-29,00:00.0,3.01425,0,0,0,0,0,0,0,0,0,0.00722627,3.39,0
2463,2019-09-30,00:00.0,0.20095,0,0,0,0,0,0,0,0,0,0.00541257,3.39,0
2464,2019-10-01,00:00.0,0,0,0,0,0,0,0,0,0,0,0.00405408,3.39,0
2465,2019-10-02,00:00.0,13.5641,0.185449,0.469994,0.55874,0.834813,1.02221,1.58632,1.61884,1.81566,1.84608,0.219726,3.42,1.88427
2466,2019-10-03,00:00.0,2.4114,0.254023,0.622649,0.759337,1.13083,1.38063,2.12676,2.16973,2.42855,2.46722,0.676973,3.42,2.51391
2467,2019-10-04,00:00.0,2.4114,0.128311,0.284834,0.375118,0.553401,0.669991,1.00972,1.02925,1.14501,1.16039,0.969783,3.44,1.17617
2468,2019-10-05,00:00.0,0,0.111581,0.246598,0.325746,0.480433,0.581584,0.875812,0.892734,0.992912,1.00618,1.02068,3.43,1.01963
2469,2019-10-06,00:00.0,1.2057,0.0981622,0.216645,0.286337,0.422325,0.511255,0.769746,0.784602,0.872483,0.884098,0.993989,3.47,0.8958
2470,2019-10-07,00:00.0,0,0.0463191,0.102227,0.135112,0.19928,0.241243,0.363215,0.370225,0.411693,0.417173,0.871764,3.51,0.422695
2471,2019-10-08,00:00.0,0,0,0,0,0,0,0,0,0,0,0.658233,3.52,0
2472,2019-10-09,00:00.0,0,0,0,0,0,0,0,0,0,0,0.456874,3.54,0
2473,2019-10-10,00:00.0,0,0,0,0,0,0,0,0,0,0,0.308213,3.56,0
2474,2019-10-11,00:00.0,0,0,0,0,0,0,0,0,0,0,0.195629,3.61,0
2475,2019-10-12,00:00.0,5.62659,0,0,0,0,0,0,0,0,0,0.109141,3.62,0
2476,2019-10-13,00:00.0,0,0,0,0,0,0,0,0,0,0,0.0567199,3.66,0
2477,2019-10-14,00:00.0,0,0,0,0,0,0,0,0,0,0,0.0356818,3.71,0
2478,2019-10-15,00:00.0,0,0,0,0,0,0,0,0,0,0,0.0251788,3.72,0
2479,2019-10-16,00:00.0,8.23894,0.0361002,0.0727757,0.102454,0.149216,0.179476,0.266063,0.27081,0.297951,0.301206,0.0528865,3.77,0.303173
2480,2019-10-17,00:00.0,9.04274,0.200605,0.471139,0.591631,0.876215,1.06646,1.6304,1.6624,1.8531,1.88063,0.313347,3.52,1.91011
2481,2019-10-18,00:00.0,0.401899,0.311482,0.75428,0.926231,1.37654,1.67945,2.5833,2.6349,2.9446,2.99056,0.937606,3.37,3.04266
2482,2019-10-19,00:00.0,0,0.278293,0.673912,0.82754,1.22987,1.50051,2.30804,2.35415,2.63085,2.67192,1.62075,3.39,2.71846
2483,2019-10-20,00:00.0,0,0.248641,0.602106,0.739366,1.09882,1.34063,2.06212,2.10331,2.35053,2.38722,2.01686,3.42,2.42881
2484,2019-10-21,00:00.0,0,0.178131,0.416815,0.525242,0.777848,0.946288,1.44496,1.4733,1.64246,1.66657,2.02014,3.46,1.69211
2485,2019-10-22,00:00.0,9.84653,0.259989,0.650829,0.779659,1.16282,1.42261,2.20354,2.24837,2.51887,2.56051,2.03689,3.49,2.61097
2486,2019-10-23,00:00.0,1.00475,0.302776,0.77639,0.913653,1.36619,1.67478,2.60727,2.66096,2.98635,3.0375,2.32934,3.52,3.10131
2487,2019-10-24,00:00.0,0.803799,0.18855,0.468096,0.564278,0.840946,1.02802,1.58938,1.62156,1.81597,1.84533,2.3687,3.47,1.87971
2488,2019-10-25,00:00.0,0,0.147192,0.35969,0.438759,0.652825,0.796966,1.228,1.25265,1.40136,1.42335,2.06857,3.43,1.44819
2489,2019-10-26,00:00.0,0,0.117839,0.283748,0.34998,0.51995,0.633951,0.973736,0.993124,1.10993,1.12685,1.74311,3.47,1.14528
2490,2019-10-27,00:00.0,31.1472,1.16278,3.08648,3.53893,5.31012,6.52956,10.2427,10.4573,11.7613,11.975,4.31085,3.49,12.2594
2491,2019-10-28,00:00.0,4.42089,2.17652,5.79682,6.63016,9.95201,12.241,19.2158,19.6191,22.0704,22.4735,12.3876,3.54,23.0119
2492,2019-10-29,00:00.0,0,1.99289,5.29767,6.06778,9.10606,11.1986,17.5723,17.9407,20.1799,20.5474,18.9429,3.09,21.0359
2493,2019-10-30,00:00.0,0.401899,1.74107,4.62456,5.29987,7.95294,9.77986,15.3435,15.6651,17.6193,17.9397,19.4811,2.83,18.3653
2494,2019-10-31,00:00.0,22.5064,2.3571,6.28178,7.18504,10.7872,13.2683,20.8263,21.2637,23.9234,24.3602,21.1378,2.76,24.9432
2495,2019-11-01,00:00.0,23.1092,3.78005,10.1073,11.5384,17.3317,21.3229,33.4844,34.1893,38.4767,39.1821,30.2408,2.99,40.1277
2496,2019-11-02,00:00.0,0,4.23831,11.3434,12.9425,19.4437,23.9228,37.572,38.3635,43.178,43.9704,40.4734,4.57,45.0341
2497,2019-11-03,00:00.0,2.8133,3.83723,10.2653,11.7167,17.6014,21.6553,34.007,34.7231,39.0799,39.7965,42.5381,5.34,40.7572
2498,2019-11-04,00:00.0,3.21519,3.56311,9.52522,10.8779,16.3403,20.1023,31.5631,32.2275,36.2696,36.934,39.705,5.54,37.8223
2499,2019-11-05,00:00.0,1.40665,3.25402,8.69163,9.9317,14.9175,18.3507,28.8081,29.4143,33.1016,33.7072,36.6574,5.59,34.5151
