time,date,hour,precip [mm/day],02GA016 
160,2013-06-10,00:00:00.00,4.82279,0.00389736
161,2013-06-11,00:00:00.00,17.4826,0.0605602
162,2013-06-12,00:00:00.00,0,0.115153
163,2013-06-13,00:00:00.00,2.21045,0.0942368
164,2013-06-14,00:00:00.00,2.21045,0.0618325
165,2013-06-15,00:00:00.00,0,0.0425938
166,2013-06-16,00:00:00.00,5.02374,0.0319033
167,2013-06-17,00:00:00.00,16.4779,0.0739862
168,2013-06-18,00:00:00.00,0.401899,0.124471
169,2013-06-19,00:00:00.00,0,0.129002
170,2013-06-20,00:00:00.00,0,0.126201
171,2013-06-21,00:00:00.00,0,0.118215
172,2013-06-22,00:00:00.00,0,0.0896978
173,2013-06-23,00:00:00.00,12.6598,0.0764602
174,2013-06-24,00:00:00.00,0,0.0687254
175,2013-06-25,00:00:00.00,12.2579,0.0536935
176,2013-06-26,00:00:00.00,0.401899,0.0443811
177,2013-06-27,00:00:00.00,0,0.026303
178,2013-06-28,00:00:00.00,10.4494,0.0127623
179,2013-06-29,00:00:00.00,11.2532,0.00446769
180,2013-06-30,00:00:00.00,0.401899,-0.00249146
181,2013-07-01,00:00:00.00,0,-0.00781765
182,2013-07-02,00:00:00.00,0,-0.00781765
183,2013-07-03,00:00:00.00,0,-0.00831681
184,2013-07-04,00:00:00.00,32.1519,0.0685785
185,2013-07-05,00:00:00.00,2.0095,0.137665
186,2013-07-06,00:00:00.00,15.6741,0.118659
187,2013-07-07,00:00:00.00,5.22469,0.0864707
188,2013-07-08,00:00:00.00,7.83704,0.0532121
189,2013-07-09,00:00:00.00,19.0902,0.0673077
190,2013-07-10,00:00:00.00,2.61235,0.080175
191,2013-07-11,00:00:00.00,0,0.0516155
192,2013-07-12,00:00:00.00,0,0.0384927
193,2013-07-13,00:00:00.00,0,0.0265375
194,2013-07-14,00:00:00.00,0,0.0166541
195,2013-07-15,00:00:00.00,0,0.00504408
196,2013-07-16,00:00:00.00,0,-0.00417605
197,2013-07-17,00:00:00.00,0,-0.0126724
198,2013-07-18,00:00:00.00,0,-0.0211687
199,2013-07-19,00:00:00.00,0,-0.029665
200,2013-07-20,00:00:00.00,11.2532,-0.0381613
201,2013-07-21,00:00:00.00,0,-0.0455637
202,2013-07-22,00:00:00.00,0,-0.0455637
203,2013-07-23,00:00:00.00,0,-0.0460628
204,2013-07-24,00:00:00.00,0,-0.048686
205,2013-07-25,00:00:00.00,0,-0.048686
206,2013-07-26,00:00:00.00,0,-0.048686
207,2013-07-27,00:00:00.00,0,-0.048686
208,2013-07-28,00:00:00.00,35.97,-0.00454212
209,2013-07-29,00:00:00.00,0,0.067322
210,2013-07-30,00:00:00.00,1.80855,0.107453
211,2013-07-31,00:00:00.00,0,0.123178
212,2013-08-01,00:00:00.00,48.7303,0.268998
213,2013-08-02,00:00:00.00,0,0.426445
214,2013-08-03,00:00:00.00,4.21994,0.434178
215,2013-08-04,00:00:00.00,0,0.411693
216,2013-08-05,00:00:00.00,0,0.384513
217,2013-08-06,00:00:00.00,0.401899,0.357945
218,2013-08-07,00:00:00.00,3.61709,0.32636
219,2013-08-08,00:00:00.00,4.82279,0.271433
220,2013-08-09,00:00:00.00,0,0.194306
221,2013-08-10,00:00:00.00,0,0.124075
222,2013-08-11,00:00:00.00,0,0.080509
223,2013-08-12,00:00:00.00,0,0.0565217
224,2013-08-13,00:00:00.00,0.401899,0.0417194
225,2013-08-14,00:00:00.00,0,0.0313037
226,2013-08-15,00:00:00.00,0,0.0234962
227,2013-08-16,00:00:00.00,0,0.0176431
228,2013-08-17,00:00:00.00,0,0.0132544
229,2013-08-18,00:00:00.00,0,0.00919131
230,2013-08-19,00:00:00.00,0,0.00454217
231,2013-08-20,00:00:00.00,0,0.000659401
232,2013-08-21,00:00:00.00,0,-0.00484032
233,2013-08-22,00:00:00.00,0,-0.0120604
234,2013-08-23,00:00:00.00,0,-0.0193205
235,2013-08-24,00:00:00.00,0,-0.0193205
236,2013-08-25,00:00:00.00,0,-0.0193205
237,2013-08-26,00:00:00.00,3.61709,-0.0206418
238,2013-08-27,00:00:00.00,6.22944,-0.0278619
239,2013-08-28,00:00:00.00,4.01899,-0.0351219
240,2013-08-29,00:00:00.00,0,-0.042382
241,2013-08-30,00:00:00.00,0,-0.049642
242,2013-08-31,00:00:00.00,7.83704,-0.056902
243,2013-09-01,00:00:00.00,0.401899,-0.0641621
244,2013-09-02,00:00:00.00,14.6693,-0.0691233
245,2013-09-03,00:00:00.00,1.00475,-0.0740845
246,2013-09-04,00:00:00.00,0,-0.0759512
247,2013-09-05,00:00:00.00,0,-0.0793682
248,2013-09-06,00:00:00.00,0,-0.0793682
249,2013-09-07,00:00:00.00,0,-0.0793682
250,2013-09-08,00:00:00.00,0,-0.0793682
251,2013-09-09,00:00:00.00,0,-0.0806147
252,2013-09-10,00:00:00.00,0.20095,-0.080931
253,2013-09-11,00:00:00.00,0,-0.0858922
254,2013-09-12,00:00:00.00,12.2579,-0.0908534
255,2013-09-13,00:00:00.00,0,-0.0958147
256,2013-09-14,00:00:00.00,0,-0.0958147
257,2013-09-15,00:00:00.00,0,-0.0958147
258,2013-09-16,00:00:00.00,1.00475,-0.0958147
259,2013-09-17,00:00:00.00,0,-0.0958147
260,2013-09-18,00:00:00.00,0,-0.0958147
261,2013-09-19,00:00:00.00,0,-0.0958147
262,2013-09-20,00:00:00.00,0,-0.0976813
263,2013-09-21,00:00:00.00,52.8498,0.05606
264,2013-09-22,00:00:00.00,20.4969,0.316777
265,2013-09-23,00:00:00.00,0,0.430737
266,2013-09-24,00:00:00.00,0,0.432741
267,2013-09-25,00:00:00.00,0,0.409203
268,2013-09-26,00:00:00.00,0,0.381952
269,2013-09-27,00:00:00.00,0,0.35098
270,2013-09-28,00:00:00.00,0,0.321761
271,2013-09-29,00:00:00.00,0,0.294734
272,2013-09-30,00:00:00.00,0.602849,0.263997
273,2013-10-01,00:00:00.00,1.80855,0.21603
274,2013-10-02,00:00:00.00,0,0.160445
275,2013-10-03,00:00:00.00,0,0.109512
276,2013-10-04,00:00:00.00,7.03324,0.0710135
277,2013-10-05,00:00:00.00,1.40665,0.0488608
278,2013-10-06,00:00:00.00,3.01425,0.0344528
279,2013-10-07,00:00:00.00,43.6061,0.188999
280,2013-10-08,00:00:00.00,4.62184,0.377213
281,2013-10-09,00:00:00.00,0,0.392772
282,2013-10-10,00:00:00.00,0,0.356983
283,2013-10-11,00:00:00.00,0,0.308445
284,2013-10-12,00:00:00.00,0,0.258244
285,2013-10-13,00:00:00.00,5.02374,0.208397
286,2013-10-14,00:00:00.00,0.803799,0.158782
287,2013-10-15,00:00:00.00,0,0.111261
288,2013-10-16,00:00:00.00,8.84179,0.0849381
289,2013-10-17,00:00:00.00,0.803799,0.0680291
290,2013-10-18,00:00:00.00,14.2674,0.0884616
291,2013-10-19,00:00:00.00,0,0.133015
292,2013-10-20,00:00:00.00,10.0475,0.170658
293,2013-10-21,00:00:00.00,3.41614,0.204165
294,2013-10-22,00:00:00.00,7.23419,0.228434
295,2013-10-23,00:00:00.00,0.602849,0.246575
296,2013-10-24,00:00:00.00,0.803799,0.241115
297,2013-10-25,00:00:00.00,1.2057,0.22815
298,2013-10-26,00:00:00.00,4.82279,0.228545
299,2013-10-27,00:00:00.00,8.43989,0.26497
300,2013-10-28,00:00:00.00,0.602849,0.295652
301,2013-10-29,00:00:00.00,0,0.29077
302,2013-10-30,00:00:00.00,0.401899,0.275059
303,2013-10-31,00:00:00.00,13.6646,0.314701
304,2013-11-01,00:00:00.00,0,0.362663
305,2013-11-02,00:00:00.00,0,0.349173
306,2013-11-03,00:00:00.00,1.40665,0.322125
307,2013-11-04,00:00:00.00,0,0.297479
308,2013-11-05,00:00:00.00,0,0.276052
309,2013-11-06,00:00:00.00,0,0.252143
310,2013-11-07,00:00:00.00,13.8655,0.282713
311,2013-11-08,00:00:00.00,2.8133,0.335537
312,2013-11-09,00:00:00.00,1.00475,0.338495
313,2013-11-10,00:00:00.00,1.6076,0.321704
314,2013-11-11,00:00:00.00,2.61235,0.306336
315,2013-11-12,00:00:00.00,3.01425,0.302535
316,2013-11-13,00:00:00.00,0,0.296575
317,2013-11-14,00:00:00.00,0,0.280198
318,2013-11-15,00:00:00.00,0,0.259435
319,2013-11-16,00:00:00.00,0,0.234583
320,2013-11-17,00:00:00.00,5.62659,0.229814
321,2013-11-18,00:00:00.00,9.64558,0.271751
322,2013-11-19,00:00:00.00,1.00475,0.304872
323,2013-11-20,00:00:00.00,0,0.297435
324,2013-11-21,00:00:00.00,0,0.280623
325,2013-11-22,00:00:00.00,5.02374,0.280272
326,2013-11-23,00:00:00.00,3.01425,0.291207
327,2013-11-24,00:00:00.00,3.01425,0.287287
328,2013-11-25,00:00:00.00,0,0.272108
329,2013-11-26,00:00:00.00,0,0.254701
330,2013-11-27,00:00:00.00,0,0.237482
331,2013-11-28,00:00:00.00,0,0.220977
332,2013-11-29,00:00:00.00,0.20095,0.205673
333,2013-11-30,00:00:00.00,0,0.191475
334,2013-12-01,00:00:00.00,0,0.178063
335,2013-12-02,00:00:00.00,1.80855,0.163733
336,2013-12-03,00:00:00.00,0,0.148553
337,2013-12-04,00:00:00.00,2.21045,0.134795
338,2013-12-05,00:00:00.00,2.61235,0.166121
339,2013-12-06,00:00:00.00,0,0.212259
340,2013-12-07,00:00:00.00,0,0.218226
341,2013-12-08,00:00:00.00,0.20095,0.210237
342,2013-12-09,00:00:00.00,3.21519,0.198432
343,2013-12-10,00:00:00.00,0.803799,0.185624
344,2013-12-11,00:00:00.00,1.00475,0.172874
345,2013-12-12,00:00:00.00,0.803799,0.160955
346,2013-12-13,00:00:00.00,3.01425,0.150082
347,2013-12-14,00:00:00.00,0.20095,0.139817
348,2013-12-15,00:00:00.00,8.23894,0.129921
349,2013-12-16,00:00:00.00,11.2532,0.120719
350,2013-12-17,00:00:00.00,2.61235,0.11232
351,2013-12-18,00:00:00.00,2.61235,0.104728
352,2013-12-19,00:00:00.00,0.401899,0.0977732
